new_method_p_layer_circuit,old_gray_trotter_method
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
